day,entity_id,energy_kwh,energy_kj,price_per_day,daily_duration_min,quantity,day_of_week
2022-10-26,sensor.archbox_current_consumption,0.0581462500087917,209.32650003165,6.977550001055,1127.30000026524,819,3
2022-10-26,sensor.desk_current_consumption,0.00263494449779391,9.48580019205809,0.31619333973527,1127.84999996424,4155,3
2022-10-26,sensor.fridge_current_consumption,1.22436083575152,4407.69900870547,146.923300290182,1127.91666693985,3394,3
2022-10-26,sensor.monitor_current_consumption,0.0268494164474309,96.6578992107511,3.2219299736917,1127.66666695476,5525,3
2022-10-26,sensor.server_current_consumption,1.55181552747935,5586.53589892566,186.217863297522,1127.96666666865,6266,3
2022-10-26,sensor.speakers_current_consumption,3.05555015802383e-07,0.00109999805688858,3.6666601896286e-05,1060.71666665375,2,3
2022-10-27,sensor.archbox_current_consumption,1.03070977764577,3710.55519952476,123.685173317492,1440.0,4418,4
2022-10-27,sensor.desk_current_consumption,0.00407305553108454,14.6629999119043,0.488766663730144,1440.0,5482,4
2022-10-27,sensor.fridge_current_consumption,2.55602444210909,9201.68799159273,306.722933053091,1440.0,6952,4
2022-10-27,sensor.monitor_current_consumption,0.0645345832753926,232.324499791414,7.74414999304712,1440.0,6679,4
2022-10-27,sensor.server_current_consumption,1.99532802828848,7183.18090183854,239.439363394618,1440.0,8108,4
2022-10-27,sensor.speakers_current_consumption,0.0,0.0,0.0,1440.0,1,4
2022-10-28,sensor.archbox_current_consumption,1.08499330909252,3905.97591273308,130.199197091103,1440.0,4706,5
2022-10-28,sensor.desk_current_consumption,0.00445366667881608,16.0332000437379,0.53444000145793,1440.0,5640,5
2022-10-28,sensor.fridge_current_consumption,2.071026397058,7455.69502940878,248.523167646959,1440.0,5867,5
2022-10-28,sensor.monitor_current_consumption,0.208605417040363,750.979501345307,25.0326500448436,1440.0,6352,5
2022-10-28,sensor.server_current_consumption,1.98914472139701,7160.92099702924,238.697366567641,1440.0,8011,5
2022-10-28,sensor.speakers_current_consumption,0.0,0.0,0.0,1440.0,1,5
2022-10-29,sensor.archbox_current_consumption,1.00458580820784,3616.50890954822,120.550296984941,1440.0,4465,6
2022-10-29,sensor.desk_current_consumption,0.00459011162593961,16.5244018533826,0.550813395112753,1440.0,5639,6
2022-10-29,sensor.fridge_current_consumption,2.34962472643219,8458.64901515588,281.954967171863,1440.0,5774,6
2022-10-29,sensor.monitor_current_consumption,0.232227555923536,836.019201324731,27.8673067108244,1440.0,6524,6
2022-10-29,sensor.server_current_consumption,1.99179863852151,7170.47509867743,239.015836622581,1440.0,8008,6
2022-10-29,sensor.speakers_current_consumption,9.16667282581329e-07,0.00330000221729279,0.00011000007390976,1440.0,5,6
2022-10-30,sensor.archbox_current_consumption,0.523800581043586,1885.68209175691,62.8560697252303,1440.0,4151,0
2022-10-30,sensor.desk_current_consumption,0.00394499971680343,14.2019989804924,0.473399966016412,1440.0,5442,0
2022-10-30,sensor.fridge_current_consumption,3.22970267517306,11626.929630623,387.564321020767,1440.0,7701,0
2022-10-30,sensor.monitor_current_consumption,0.153981916080415,554.334897889495,18.4778299296498,1440.0,6653,0
2022-10-30,sensor.server_current_consumption,1.98668233308345,7152.05639910042,238.401879970014,1440.0,8025,0
2022-10-30,sensor.speakers_current_consumption,3.05556133389473e-07,0.0011000020802021,3.66667360067368e-05,1440.0,3,0
2022-10-31,sensor.archbox_current_consumption,1.10565050355569,3980.34181280047,132.678060426682,1440.0,4030,1
2022-10-31,sensor.chromecast_current_consumption,0.0,0.0,0.0,487.900000289083,9,1
2022-10-31,sensor.desk_current_consumption,0.00452658352218568,16.2957006798685,0.543190022662282,1440.0,5171,1
